Season_Year,Player,PPG
2000,Vince Carter,25.695122
2000,Tim Duncan,23.1891892
2000,Glenn Robinson,20.9012346
2000,Dirk Nowitzki,17.5
2000,Paul Pierce,19.5479452
2000,Andre Miller,11.1463415
2000,Jason Terry,8.11111111
2000,Mike Miller,11.2987199
2000,Hedo Turkoglu,11.0503399
2000,Pau Gasol,17.2514471
2000,Richard Jefferson,12.6743489
2000,Tony Parker,15.3156957
2000,Joe Johnson,16.0160919
2000,Tyson Chandler,8.64466891
2000,Caron Butler,12.5227054
2000,Amar'e Stoudemire,21.5635556
2000,Drew Gooden,12.1208455
2000,Jamal Crawford,14.8198397
2000,Maybyner Nene,11.4850334
2000,Carlos Boozer,16.1210535
2000,Zach Randolph,16.9776347
2000,Rasual Butler,9.09249288
2000,Manu Ginobili,13.2416943
2000,Mike Dunleavy,11.0569287
2000,Carmelo Anthony,22.9674313
2000,LeBron James,27.0501881
2000,Dwyane Wade,21.6646271
2000,Kirk Hinrich,11.0743389
2000,Tayshaun Prince,11.5157063
2000,Udonis Haslem,8.5738913
2000,Leandro Barbosa,10.6567339
2000,Chris Kaman,11.2631054
2000,Steve Blake,6.59559478
2000,Boris Diaw,8.70787606
2000,Kyle Korver,9.7512061
2000,David West,13.561276
2000,Chris Andersen,5.57711731
2000,Dwight Howard,16.4981131
2000,Mo Williams,13.3464444
2000,J.R. Smith,12.6667413
2000,Andre Iguodala,12.2339774
2000,Josh Smith,15.2084843
2000,Jameer Nelson,11.3390352
2000,Matt Bonner,5.97360884
2000,Tony Allen,8.14966571
2000,Al Jefferson,16.3058534
2000,Beno Udrih,8.73852362
2000,Trevor Ariza,11.3012653
2000,Nick Collison,6.39927835
2000,Zaza Pachulia,7.08933089
2000,Devin Harris,10.3790413
2000,James Jones,5.75430984
2000,Chris Paul,18.4849737
2000,Luol Deng,15.7713675
2000,Raymond Felton,11.8707138
2000,Deron Williams,16.2121088
2000,Andrew Bogut,8.84191446
2000,Marvin Williams,9.7542669
2000,Jarrett Jack,10.3794378
2000,Shaun Livingston,5.88409373
2000,Monta Ellis,18.6197573
2000,Rudy Gay,16.7418864
2000,Gerald Green,10.1291542
2000,Randy Foye,10.2994758
2000,Matt Barnes,9.06838193
2000,Channing Frye,9.36511833
2000,Jose Calderon,9.30785522
2000,Paul Millsap,14.0354373
2000,Anderson Varejao,7.96225904
2000,Rajon Rondo,9.92325589
2000,Kendrick Perkins,5.80365499
2000,Jordan Farmar,7.35772952
2000,Thabo Sefolosha,5.8607764
2000,Kevin Durant,27.0206702
2000,LaMarcus Aldridge,20.2740886
2000,Lou Williams,16.3096965
2000,David Lee,15.9504794
2000,Luis Scola,12.404455
2000,Jeff Green,12.8001059
2000,Al Horford,13.7631089
2000,Kyle Lowry,15.83623
2000,Brandon Bass,10.1168552
2000,Thaddeus Young,13.0634862
2000,Nick Young,10.2694061
2000,Joakim Noah,9.41915192
2000,Corey Brewer,8.856238
2000,Rodney Stuckey,13.0216506
2000,Jared Dudley,8.17558273
2000,Jason Smith,5.92645434
2000,Spencer Hawes,8.66478842
2000,Glen Davis,7.45930196
2000,Arron Afflalo,10.8803797
2000,Amir Johnson,7.45066918
2000,Sergio Rodriguez,4.91470588
2000,O.J. Mayo,14.4232136
2000,Derrick Rose,19.4438112
2000,Russell Westbrook,23.387182
2000,Eric Gordon,16.6282574
2000,Wilson Chandler,13.8664852
2000,Michael Beasley,13.4357086
2000,Brook Lopez,16.7298096
2000,Ramon Sessions,10.9931238
2000,Marc Gasol,15.0174328
2000,Jason Thompson,9.37726564
2000,Kevin Love,18.9028904
2000,Mike Conley,15.2881478
2000,Aaron Brooks,11.2564603
2000,D.J. Augustin,10.0103066
2000,Mario Chalmers,8.69963417
2000,C.J. Watson,6.4621461
2000,C.J. Miles,10.1815906
2000,Courtney Lee,10.0590205
2000,Carl Landry,11.1782587
2000,J.J. Barea,9.50564609
2000,Brandon Rush,8.1244033
2000,Marreese Speights,8.20172863
2000,Luc Mbah a Moute,5.97379543
2000,Roy Hibbert,10.4157493
2000,JaVale McGee,8.30537606
2000,George Hill,10.2792544
2000,Nicolas Batum,11.9317411
2000,Darrell Arthur,7.08232406
2000,J.J. Redick,13.944209
2000,Marcin Gortat,9.60587349
2000,Tyreke Evans,15.5847132
2000,Stephen Curry,23.9691028
2000,Brandon Jennings,14.9354342
2000,Danilo Gallinari,17.5871142
2000,Darren Collison,12.241504
2000,Ersan Ilyasova,10.5262268
2000,Wesley Matthews,12.6240469
2000,James Harden,25.1398903
2000,Jonas Jerebko,6.31437279
2000,Taj Gibson,9.41451221
2000,J.J. Hickson,10.6513292
2000,DeMar DeRozan,20.0413575
2000,Goran Dragic,14.6400753
2000,Jerryd Bayless,8.67225227
2000,Jrue Holiday,15.9896315
2000,Ty Lawson,13.024185
2000,Wayne Ellington,8.33291489
2000,Ryan Anderson,12.2570931
2000,Serge Ibaka,12.4100489
2000,DeAndre Jordan,9.70932096
2000,Jeff Teague,12.3999091
2000,DeMarre Carroll,9.43424653
2000,Blake Griffin,21.8514845
2000,DeMarcus Cousins,21.4263497
2000,Marco Belinelli,10.3471456
2000,Jodie Meeks,9.76655057
2000,Tyler Hansbrough,7.73029187
2000,Greg Monroe,13.3363418
2000,Wesley Johnson,7.00330073
2000,Evan Turner,9.77483768
2000,Eric Bledsoe,14.5446803
2000,Josh McRoberts,6.15555284
